projectile,ejectile,target,residual,level,file,sys-error,stat-error,angle-integrated,norm,group,splitnorms,lab,abserr,scale,filedir,Aflip,Ein,eshift,ecalib,splitshifts,ratioRuth,S_factor,Npoints,EXFOR,minRelErr,maxRelErr
H1,H1,Li6,Li6,0,Fasoli-D0135002.dat,5,5,FALSE,1,,FALSE,FALSE,TRUE,mb,data/X4/,FALSE,lab,0,0,FALSE,FALSE,FALSE,406,D0135002,1.41e-02,1.41e-02
H1,H1,Li6,Li6,0,Harrison-C1003002.dat,5,5,FALSE,1,,FALSE,FALSE,TRUE,mb,data/X4/,FALSE,lab,0,0,FALSE,FALSE,FALSE,276,C1003002,1.00e-02,1.50e-01
H1,H1,Li6,Li6,0,Mccray-A1410002.dat,5,5,FALSE,1,,FALSE,FALSE,TRUE,mb,data/X4/,FALSE,lab,0,0,FALSE,TRUE,FALSE,214,A1410002,0.00e+00,0.00e+00
H1,H1,Li6,Li6,0,Mccray-A1410003.dat,5,5,FALSE,1,,FALSE,FALSE,TRUE,mb,data/X4/,FALSE,lab,0,0,FALSE,FALSE,FALSE,70,A1410003,5.00e-02,5.00e-02
H1,He3,Li6,He4,0,Abramovich-A0244002.dat,5,5,TRUE,1,,FALSE,FALSE,TRUE,mb,data/X4/,FALSE,lab,0,0,FALSE,FALSE,FALSE,146,A0244002,4.55e-02,1.63e-01
H1,He3,Li6,He4,0,Elwyn-F0012002.dat,5,5,FALSE,1,,FALSE,FALSE,TRUE,mb,data/X4/,FALSE,lab,0,0,FALSE,FALSE,FALSE,110,F0012002,7.07e-02,7.07e-02
H1,He3,Li6,He4,0,Elwyn-F0012003.dat,5,5,FALSE,1,,FALSE,FALSE,TRUE,mb,data/X4/,FALSE,lab,0,0,FALSE,FALSE,FALSE,286,F0012003,7.07e-02,7.07e-02
H1,He3,Li6,He4,0,Elwyn-F0012005.dat,5,5,TRUE,1,,FALSE,FALSE,TRUE,mb,data/X4/,FALSE,lab,0,0,FALSE,FALSE,FALSE,30,F0012005,7.07e-02,7.07e-02
H1,He3,Li6,He4,0,Schenk-F0049002.dat,5,5,FALSE,1,,FALSE,FALSE,TRUE,mb,data/X4/,FALSE,lab,0,0,FALSE,FALSE,FALSE,115,F0049002,0.00e+00,0.00e+00
H1,He3,Li6,He4,0,Tumino-O1221002.dat,5,5,TRUE,1,,FALSE,FALSE,TRUE,mb,data/X4/,FALSE,cm,0,0,FALSE,FALSE,FALSE,29,O1221002,8.70e-02,3.80e-01
He3,H1,He4,Li6,0,Spiger-A1094007.dat,5,5,FALSE,1,,FALSE,TRUE,TRUE,mb,data/X4/,FALSE,lab,0,0,FALSE,FALSE,FALSE,86,A1094007,0.00e+00,0.00e+00
He3,He3,He4,He4,0,Spiger-A1094004.dat,5,5,FALSE,1,,FALSE,FALSE,TRUE,mb,data/X4/,FALSE,lab,0,0,FALSE,FALSE,FALSE,710,A1094004,0.00e+00,0.00e+00
He4,He4,He3,He3,0,Ivanovich-A1014010.dat,5,5,FALSE,1,,FALSE,FALSE,TRUE,mb,data/X4/,TRUE,lab,0,0,FALSE,FALSE,FALSE,90,A1014010,7.07e-02,7.07e-02
